"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.00L",3,8,8,8,8,8,-0.00282354552782274,-0.00383016119233756,0.500722649574977,0.743286999423595,0.613591354149616,0.129695645273979,0.174489322932535
"2","ratio_quantity.00N",1,2,2,2,2,2,-0.0013441601520464,-0.00207350221956212,0.516666666666667,0.649600110575025,0.568950501452241,0.080649609122784,0.124152702270006
"3","ratio_quantity.00P",2,18,18,18,18,18,-0.00526182775111277,-0.00940487073748255,0.550917274888221,0.564740835808296,0.526536713404036,0.0382041224042602,0.0676489461747171
"4","ratio_quantity.00Q",2,18,18,18,18,18,-0.00851542135203632,-0.0128048333006843,0.50456314047694,0.700431087398532,0.497909246171991,0.202521841226541,0.289138853015115
"5","ratio_quantity.00R",1,15,15,15,15,15,-0.00342322235930364,-0.00461134504354216,0.51063829787234,0.74577113321399,0.584879682326719,0.160891450887271,0.215738372969586
"6","ratio_quantity.00T",2,17,17,17,17,17,-0.0119230654193698,-0.0151684936232719,0.554394672206772,0.7979645613974,0.625912901926576,0.172051659470824,0.215613158521133
"7","ratio_quantity.00V",4,15,15,19,19,19,-0.00540440434039939,-0.00712728303331967,0.508054557380287,0.756347368528033,0.618060534162323,0.13828683436571,0.182835083613548
"8","ratio_quantity.00X",2,15,15,15,15,15,-0.0108244416063683,-0.0192052421643623,0.602208777467834,0.574443557352505,0.484570725775034,0.0898728315774713,0.156451979358385
"9","ratio_quantity.00Y",2,9,9,9,9,9,-0.0327440645047947,-0.0470247302485912,0.502322911852613,0.729059903674882,0.337948165800554,0.391111737874328,0.536460359296815
"10","ratio_quantity.01A",2,17,17,17,17,17,-0.00732617045004087,-0.010808607801285,0.527837231017205,0.685135059877028,0.532459442821469,0.152675617055559,0.222840175604154
"11","ratio_quantity.01D",2,15,15,15,15,15,-0.0399985761347882,-0.0595267316996746,0.738619742855544,0.71194166779636,0.549482256759695,0.162459411036665,0.228192025253302
"12","ratio_quantity.01E",2,13,13,13,13,13,-0.0314868611198438,-0.0521000639797605,0.538704541570277,0.635840459074648,0.402043572729029,0.233796886345619,0.367697404292059
"13","ratio_quantity.01F",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.01G",6,8,8,8,8,17,-0.00910194995649641,-0.0107935844696275,0.523502518048944,0.84655458210505,0.533595057425901,0.31295952467915,0.369686174163681
"15","ratio_quantity.01H",2,15,15,15,15,15,-0.00706346171035464,-0.0102581516562449,0.526651519441363,0.695634068487707,0.561513849526845,0.134120218960862,0.192802832748598
"16","ratio_quantity.01J",3,12,12,25,25,25,-0.0083949731194805,-0.0155517490306191,0.585407105882951,0.538941797640925,0.452899386794354,0.0860424108465711,0.159650654714849
