month,ratio_quantity.15N,ratio_quantity.36L,ratio_quantity.72Q,ratio_quantity.91Q,ratio_quantity.92A
1514764800,0.0,0.0,0.0,0.0,0.0
1517443200,0.0,0.023809523809523808,0.0,0.0,0.0
1519862400,0.0,0.044444444444444446,0.0,0.0,0.0
1522540800,0.0,0.023255813953488372,0.0,0.0,0.0
1525132800,0.0,0.0,0.0,0.0,0.02857142857142857
1527811200,0.00625,0.02,0.0,0.0,0.0
1530403200,0.0,0.023255813953488372,0.0,0.0,0.0
1533081600,0.0,0.0,0.0,0.0,0.0
1535760000,0.0,0.023809523809523808,0.0,0.0,0.0
1538352000,0.006944444444444444,0.019230769230769232,0.0,0.0,0.0
1541030400,0.0,0.01639344262295082,0.0,0.02702702702702703,0.0
1543622400,0.0,0.01818181818181818,0.0,0.03225806451612903,0.0
1546300800,0.0,0.011235955056179775,0.0,0.034482758620689655,0.0
1548979200,0.0,0.0,0.0,0.04,0.0
1551398400,0.0,0.0,0.0,0.05,0.0
1554076800,0.0,0.0,0.0,0.025,0.0
1556668800,0.0,0.0,0.0,0.03571428571428571,0.0
1559347200,0.0,0.0,0.0,0.06060606060606061,0.0
1561939200,0.0,0.0,0.0,0.03333333333333333,0.0
1564617600,0.006756756756756757,0.0,0.0,0.03125,0.0
1567296000,0.006944444444444444,0.0,0.0,0.03125,0.0
1569888000,0.0,0.0,0.0,0.0,0.0
1572566400,0.0,0.0,0.0,0.02857142857142857,0.0
1575158400,0.0,0.0,0.0,0.0,0.0
1577836800,0.0,0.0,0.0,0.0,0.0
1580515200,0.0,0.0,0.0,0.0,0.0
1583020800,0.0,0.0,0.0,0.0,0.0
1585699200,0.0,0.0,0.0,0.0,0.0
1588291200,0.0,0.0,0.0,0.0,0.0
1590969600,0.0,0.027777777777777776,0.0,0.0,0.0
1593561600,0.0,0.0,0.0,0.0,0.0
1596240000,0.0,0.015625,0.0,0.02631578947368421,0.0
1598918400,0.0,0.029411764705882353,0.0,0.0,0.0
1601510400,0.0,0.0,0.0,0.027777777777777776,0.0
1604188800,0.0,0.0,0.0,0.0,0.034482758620689655
1606780800,0.0,0.015151515151515152,0.0,0.0196078431372549,0.038461538461538464
1609459200,0.0,0.0,0.0,0.0,0.02857142857142857
1612137600,0.0,0.0,0.0,0.0,0.037037037037037035
1614556800,0.0,0.015384615384615385,0.0,0.047619047619047616,0.06451612903225806
1617235200,0.0,0.0,0.01694915254237288,0.022727272727272728,0.041666666666666664
1619827200,0.0,0.013157894736842105,0.0,0.02857142857142857,0.0
1622505600,0.0,0.0,0.013513513513513514,0.019230769230769232,0.0
1625097600,0.0,0.0,0.0,0.0,0.0
1627776000,0.007407407407407408,0.0,0.0,0.0,0.0
1630454400,0.0,0.0,0.01818181818181818,0.0,0.0
1633046400,0.0,0.0,0.0,0.0,0.0
1635724800,0.0,0.0,0.0,0.0,0.0
1638316800,0.0,0.0,0.0,0.0,0.0
1640995200,0.006711409395973154,0.0,0.0,0.0,0.0
1643673600,0.0,0.0,0.0,0.0,0.0
1646092800,0.0,0.0,0.0,0.0,0.0
1648771200,0.0,0.0,0.045454545454545456,0.0,0.0
1651363200,0.0,0.0,0.0,0.0,0.0
1654041600,0.0,0.0,0.046511627906976744,0.0,0.0
1656633600,0.0,0.0,0.0,0.0,0.0
1659312000,0.0,0.0,0.0,0.0,0.0
1661990400,0.0,0.0,0.0,0.0,0.0
1664582400,0.0,0.0,0.0,0.0,0.0
1667260800,0.0,0.0,0.0,0.0,0.0
1669852800,0.0,0.0,0.0,0.0,0.0
1672531200,0.0,0.0,0.01818181818181818,0.0,0.0
